,pred_dust_percent,speed_discrete,dust>50,dust>35,dust>25,dust>15,dust>5,collected_on_localtime,is_rev1,camera_location,camera_location_grouped,latitude,longitude,robot_name,operation_time,id,collected_on_localtime,speed_kph
24834,0.0,B:2-10,False,False,False,False,False,2023-06-21 13:26:13.487000-05:00,loamy,front-left-left,rev1_side_front,41.76105049999999,-93.4884598,loamy_204,daytime,64b6ba6466204fd91bee83e0,2023-06-21 13:26:13.487000-05:00,7.1875
218421,0.0,D:25+,False,False,False,False,False,2022-05-11 05:58:28.967000-05:00,hitchhiker,side-left-left,rev1_side_rear,39.94036829999999,-85.4652532,hitchhiker_38,daytime,63552467880ca1c45b373fbe,2022-05-11 05:58:28.967000-05:00,41.96484375
156977,28.601837158203118,A:0-2,False,False,True,True,True,2021-11-01 18:45:38.766000-05:00,loamy,front-left-left,rev1_side_front,43.6134975,-94.1271964,loamy_735,nightime,618de0ab32ffef27c1b81e96,2021-11-01 18:45:38.766000-05:00,0.0078125
29985,0.0,B:2-10,False,False,False,False,False,2021-10-06 17:57:48.020000-05:00,loamy,front-left-right,rev1_side_front,43.9556867,-93.9916259,loamy_752,daytime,616287c05ea94e431e8f6352,2021-10-06 17:57:48.020000-05:00,8.0859375
3879,0.0,C:10-25,False,False,False,False,False,2022-03-21 06:44:06.406000-05:00,loamy,front-left-right,rev1_side_front,39.85731439999998,-97.8309444,loamy_752,nightime,6286033f2efff336b4eb44b6,2022-03-21 06:44:06.406000-05:00,12.26953125
2109,0.0,C:10-25,False,False,False,False,False,2022-03-05 08:57:34.728000-06:00,loamy,rear-left,rev1_rear,30.922755699999986,-96.643418,loamy_733,daytime,628526763e0001562ec830d0,2022-03-05 08:57:34.728000-06:00,12.95703125
197653,0.0,B:2-10,False,False,False,False,False,2022-07-11 17:00:09.959000-05:00,hitchhiker,side-right-left,rev1_side_rear,41.34195129999999,-104.0492813,hitchhiker_35,daytime,6353958eddb52af31f6e1529,2022-07-11 17:00:09.959000-05:00,8.71484375
40388,0.0,A:0-2,False,False,False,False,False,2021-08-30 17:50:24.955000-05:00,loamy,side-right-right,rev1_side_rear,36.95360599999998,-121.5190037,loamy_06,daytime,614a14c9eb9df6d96a25face,2021-08-30 17:50:24.955000-05:00,0.00390625
206101,0.0,D:25+,False,False,False,False,False,2021-10-18 15:22:28.707000-05:00,hitchhiker,front-center-right,rev1_front,32.500195599999984,-91.3476009,hitchhiker_07,daytime,61ea17dd9de06f5d8eb7a21c,2021-10-18 15:22:28.707000-05:00,41.54296875
48671,0.0,C:10-25,False,False,False,False,False,2022-03-21 06:55:40.080000-05:00,loamy,front-center-right,rev1_front,39.85966449999998,-97.8304289,loamy_752,nightime,6280b6236e2b538af6642714,2022-03-21 06:55:40.080000-05:00,12.0859375
123747,0.0,B:2-10,False,False,False,False,False,2021-09-24 20:54:23.267000-05:00,loamy,rear-right,rev1_rear,32.20468339999999,-91.8391023,loamy_05,nightime,61668de53a259d60a0a20c8d,2021-09-24 20:54:23.267000-05:00,7.24609375
213536,0.0,B:2-10,False,False,False,False,False,2023-05-06 15:37:49.756000-05:00,hitchhiker,T15,halo_side,40.05131779999999,-85.7871056,hitchhiker_102,daytime,645bff889961c95b47f27768,2023-05-06 15:37:49.756000-05:00,8.54296875
167334,1.336669921875,A:0-2,False,False,False,False,False,2022-02-28 19:12:47.453000-06:00,hitchhiker,front-left-right,rev1_side_front,37.38352329999999,-122.0358342,hitchhiker_10,daytime,62a970a4f1c1cadb0b245e61,2022-02-28 19:12:47.453000-06:00,0.0
59284,0.0,C:10-25,False,False,False,False,False,2022-08-06 20:34:05.668000-05:00,loamy,front-left-left,rev1_side_front,44.67090499999999,-98.8116734,loamy_756,daytime,62f7bb585a16e32f5a531096,2022-08-06 20:34:05.668000-05:00,10.07421875
185230,0.0,C:10-25,False,False,False,False,False,2021-10-08 18:15:21.315000-05:00,hitchhiker,side-left-left,rev1_side_rear,41.74084439999999,-89.3650671,hitchhiker_04,daytime,61f483a1cf82e61fa3456670,2021-10-08 18:15:21.315000-05:00,14.55859375
116164,0.0,C:10-25,False,False,False,False,False,2022-02-10 12:01:32.335000-06:00,loamy,front-right-right,rev1_side_front,32.897601399999985,-101.1790157,loamy_733,daytime,628482f0f6f79d92032a31d1,2022-02-10 12:01:32.335000-06:00,10.890625
110832,0.0,A:0-2,False,False,False,False,False,2022-10-03 15:43:18.047000-05:00,hitchhiker,side-left-left,rev1_side_rear,41.70717849999999,-88.7376984,hitchhiker_35,daytime,633d8ce2e5ee938731b2cea7,2022-10-03 15:43:18.047000-05:00,0.015625
85808,0.0,B:2-10,False,False,False,False,False,2022-08-15 17:04:06.484000-05:00,loamy,front-center-right,rev1_front,36.95353529999999,-121.5206567,loamy_06,daytime,62ffbce6424e836f66cfaf94,2022-08-15 17:04:06.484000-05:00,3.578125
7201,4.468536376953121,B:2-10,False,False,False,False,False,2021-12-15 13:30:39.017000-06:00,loamy,rear-right,rev1_rear,32.4278788,-100.5015934,loamy_733,daytime,61c47f9c5845520f1d13003e,2021-12-15 13:30:39.017000-06:00,8.6875
166321,0.0,A:0-2,False,False,False,False,False,2022-04-29 06:51:08.948000-05:00,hitchhiker,front-right-right,rev1_side_front,32.593677699999986,-91.4399657,hitchhiker_23,daytime,62ccc2b584fe87f6782ac232,2022-04-29 06:51:08.948000-05:00,0.00390625
187393,0.0,C:10-25,False,False,False,False,False,2022-09-21 11:36:31.502000-05:00,hitchhiker,side-right-right,rev1_side_rear,35.44494669999999,-91.2975281,hitchhiker_41,daytime,63388d339877953a5ee4dc9f,2022-09-21 11:36:31.502000-05:00,11.24609375
